,Borough,Neighbourhood,Latitude,Longitude
0, North West Delhi,Adarsh Nagar,28.6141925,77.0715411848447
1, North West Delhi,Ashok Vihar,28.6994533,77.1848256
2, North West Delhi,BegumPur,28.5369782,77.2099406
3, North West Delhi,Karala,28.73514,77.0325105
4, North West Delhi,Model Town,28.7027136,77.1939912
5, North West Delhi,Narela,28.8426096,77.0918354
6, North West Delhi,Pitam Pura,28.7032676,77.1322497
7, North West Delhi,Rohini,28.7162092,77.1170743
8, North West Delhi,Shalimar Bagh,28.71745265,77.15086654617409
9, North Delhi,Civil Lines,28.6768508,77.2250299
10, North Delhi,Gulabi Bagh,28.6696495,77.1947256
11, North Delhi,Kamla Nagar,28.680344249999997,77.20212920033055
12, North Delhi,Kashmiri Gate,28.6699765,77.2320588
13, North Delhi,Kotwali,28.6517178,77.2219388
14, North Delhi,Mori Gate; Delhi,28.664203,77.2237393
15, North Delhi,Sadar Bazaar,28.5771509,77.1111533
16, North Delhi,Sarai Rohilla,28.6678728,77.1902673
17, North Delhi,Shakti Nagar,28.67979,77.1949142
18, North Delhi,Shastri Nagar.,28.6700885,77.1818589
19, North Delhi,Tis Hazari,28.6671626,77.2166306
20, North Delhi,Timarpur,28.70126285,77.21867953631201
21, North Delhi,Wazirabad,28.433762,77.0877572
22, North East Delhi,Dilshad Garden,28.6758257,77.3215163
23, North East Delhi,Naveen Shahdara,28.6773386,77.2860157
24, North East Delhi,New Usmanpur,28.6838546,77.2560051
25, North East Delhi,Shahdara,28.6733333,77.2890248
26, North East Delhi,Shastri Park,28.6684339,77.2505301
27, North East Delhi,Yamuna Vihar,28.700372,77.2727728
28, Central Delhi,Chandni Chowk,28.6559834,77.2321937
29, Central Delhi,Daryaganj,28.64609,77.243048
30, Central Delhi,Jhandewalan,28.6443188,77.1999165
31, Central Delhi,Karol Bagh,28.6529982,77.1890227
32, Central Delhi,Kishanganj,28.6627442,77.1979077
33, Central Delhi,Paharganj,28.6414989,77.2140607
34, Central Delhi,Rajinder Nagar,28.6357855,77.1841395
35, New Delhi,Barakhamba Road,28.6269519,77.22995
36, New Delhi,Chanakyapuri,28.5946775,77.1885212
37, New Delhi,Connaught Place,28.6313827,77.2197924
38, New Delhi,Gole Market,28.63371865,77.20562662098214
39, New Delhi,INA Colony,28.5772814,77.2126489
40, New Delhi,Laxmibai Nagar,28.5754186,77.2051091
41, New Delhi,Pragati Maidan,28.6234752,77.2425278
42, East Delhi,East Vinod Nagar,28.6227661,77.3075035
43, East Delhi,Jhilmil Colony,28.6698142,77.3072827
44, East Delhi,Laxmi Nagar,28.6305526,77.277575
45, East Delhi,Mayur Vihar,28.6131071,77.2957221
46, East Delhi,Pandav Nagar,28.6500237,77.1536755
47, East Delhi,Preet Vihar,28.6414409,77.2952594
48, East Delhi,Anand Vihar,28.6256914,77.10194106560284
49, East Delhi,Vasundhara Enclave,28.60172565,77.3211224956397
50, East Delhi,Vishwas Nagar,28.6644357,77.29496
51, East Delhi,Vivek Vihar,28.6691641,77.31226695421603
52, South Delhi,Alaknanda,28.5293364,77.2516323
53, South Delhi,Chittaranjan Park,28.5387523,77.2492493451557
54, South Delhi,Defence Colony,28.5712216,77.23177637002767
55, South Delhi,East of Kailash,28.557032200000002,77.24461392068525
56, South Delhi,Govindpuri,28.5351561,77.2637936
57, South Delhi,Greater Kailash,28.5591566,77.2460179
58, South Delhi,Green Park,28.5555374,77.2024966
59, South Delhi,Gulmohar Park,28.5571011,77.2130055
60, South Delhi,Hauz Khas,28.5442564,77.2067072
61, South Delhi,Hauz Khas Village,28.55385485,77.1947127585299
62, South Delhi,Jangpura,28.582457050000002,77.2415000727384
63, South Delhi,Jor Bagh,28.6766079,77.1586915
64, South Delhi,Kalkaji,28.5370703,77.2618051
65, South Delhi,Khanpur,28.5127982,77.2323949
66, South Delhi,Lajpat Nagar,28.5792615,77.2440325
67, South Delhi,Lodi Colony,28.59070215,77.22092057315884
68, South Delhi,Malviya Nagar,28.5339201,77.2124474
69, South Delhi,Mehrauli,28.5218262,77.1783232
70, South Delhi,Neeti Bagh,28.5592511,77.2161665
71, South Delhi,Nehru Place,28.54925735,77.25295199508821
72, South Delhi,Netaji Nagar,28.5755823,77.1861626
73, South Delhi,New Friends Colony,28.5671008,77.2697643
74, South Delhi,Nizamuddin West,28.588365,77.2449546
75, South Delhi,Okhla,28.5636616,77.2890546
76, South Delhi,Safdarjung Enclave,28.5656419,77.1934382
77, South Delhi,Sainik Farm,28.503746,77.21607253402124
78, South Delhi,Saket,28.5244107,77.2137253
79, South Delhi,Sangam Vihar,28.49770245,77.23917410450832
80, South Delhi,Sarita Vihar,28.5285737,77.2883311
81, South Delhi,Sarojini Nagar,28.5741575,77.1953703
82, South Delhi,Sarvodaya Enclave,28.5374783,77.2020888
83, South Delhi,Siri Fort,28.5521464,77.2246983
84, South Delhi,South Extension,28.5687149,77.2168955
85, South Delhi,Sriniwaspuri,28.5652204,77.2547041
86, South Delhi,Sundar Nagar,28.61893,76.961584
87, South Delhi,Tughlaqabad,28.5111925,77.2623265
88, South Delhi,Badarpur,28.4931698,77.3030239
89, South West Delhi,"Dabri, New Delhi",28.6107697,77.09110590789903
90, South West Delhi,Dwarka,28.5771915,77.0442935
91, South West Delhi,Delhi Cantonment,28.593833099999998,77.13497891459929
92, South West Delhi,Dhaula Kuan,28.5918905,77.1617034
93, South West Delhi,Inderpuri,28.6286841,77.1470979
94, South West Delhi,Mahipalpur,28.544537,77.1279229
95, South West Delhi,Moti Bagh,28.6676187,77.1842269
96, South West Delhi,Munirka,28.554886,77.1710841
97, South West Delhi,Najafgarh,28.612304,76.9823908
98, South West Delhi,Naraina,28.6220547,77.1386441
99, South West Delhi,Palam,28.5918933,77.0828242
100, South West Delhi,Rama Krishna Puram,28.5755607,77.17230336809229
101, South West Delhi,SagarPur,28.6091456,77.0995916
102, South West Delhi,Vasant Kunj,28.5292495,77.1541335
103, South West Delhi,Vasant Vihar,28.56069055,77.16079073168567
104, West Delhi,Ashok Nagar,28.6360207,77.101822
105, West Delhi,Bali Nagar,28.6541384,77.128178
106, West Delhi,Fateh Nagar,28.6316154,77.1008776
107, West Delhi,Kirti Nagar,28.6532807,77.1417729
108, West Delhi,Moti Nagar,28.657859,77.1424288
109, West Delhi,Paschim Vihar,28.6695782,77.095956
110, West Delhi,Patel Nagar,28.6598088,77.156957
111, West Delhi,Punjabi Bagh,28.668945,77.1324614
112, West Delhi,Rajouri Garden,28.6421518,77.11606037769263
113, West Delhi,Tihar Village,28.6346361,77.1071121
114, West Delhi,Tilak Nagar,28.63964975,77.09403946346426
115, West Delhi,Vikas Nagar,28.64501545,77.0350282137366
116, West Delhi,Vikaspuri,28.638419050000003,77.07083614685489
